GB21;CV17;PC7;TE6;GB34;TE5;
TE17;ST6;S13;L14;TE5;
TE17;S13;Ex-UE1;TE5;
LR2;HT7;LU9;GB39;BL19;SI4;
TE10;GB20;Ex-UE1;
ST36;Ex-HN 15;HT7;TE3;TE5;
GV14;
Nangjeo;
Gijukma;
ST36;GB39;
Ex-LE5;
GB39;HT7;
BL11;
Ex-HN 15;
Ex-UE1;
LI11;PC3;L14;LU7;BL13;LU10;HT7;PC6;
BL13;HT7;LI11;PC7;
Gijukma;
Gijukma;
Gijukma;
LU5;
Gijukma;
KI1;BL40;
CV24;PC8;
Gijukma;
Ex-UE1;
L14;ST36;HT7;
GB21;
BL40;HT4;
Gijukma;
LI11;
SP4;BL19;GV9;BL40;SI4;CV12;HT7;BL27;
GV23;
LI20;L14;HT7;BL13;BL15;LU5;GV22;
Gijukma;
LI11;BL13;BL20;HT7;
CV12;
BL40;LU5;LR3;
LI11;HT7;TE3;L14;PC6;BL62;LU9;KI6;GB39;BL60;BL13;BL21;BL20
BL40;LU5;LR3;
LI11;
HT7;L14;
