LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
HT8+; SP2+; LR1-; SP1-
SP3+; LU9+; HT8-; LU10-
HT9+; LR1+; HT3-; KI10-
KI10+; LR8+; LR4-; LU8-
BL67+; LI1+; BL40-; ST36-
LI11+; ST36+; LI5-; SI5-
KI10+; LR8+; LR4-; LU8-
SP3+; LU9+; HT8-; LU10-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
LI11+; ST36+; LI5-; SI5-
GB41+; ST43+; ST45-; LI1-
LR1+; SP1+; LU8-; SP5-
GB41+; SI3+; BL66-; SI2-
LR1+; SP1+; LU8-; SP5-
HT8+; LU10+; LU5-; KI10-
KI10+; LR8+; LR4-; LU8-
LR1+; SP1+; LU8-; SP5-
KI10+; LR8+; LR4-; LU8-
HT8+; LU10+; LU5-; KI10-
LI1+; GB44+; SI5-; GB38-
GB41+; ST43+; ST45-; LI1-
SP3+; LU9+; HT8-; LU10-
KI10+; LR8+; LR4-; LU8-
LR1+; SP1+; LU8-; SP5-
HT8+; LU10+; LU5-; KI10-
GB41+; SI3+; BL66-; SI2-
SP3+; LU9+; HT8-; LU10-
LU8+; KI7+; TE6-; GB38-
SI5+; ST43+; TE2-; TE3-
TE2+; TE3+; PC8-; CV24-
LI11+; ST36+; LI5-; SI5-
KI10+; LI1-; TE2-; TE3-
LU8+; TE2-; TE3-; BL60-
LI11+; ST36+; LI5-; SI5-
SP3+; LU9+; LR1-; SP1-
